ID,Name,Line,Latitude,Longitude
1,Longshan Temple,BL,25.03528,121.499826
2,Kunyang,BL,25.050461,121.593268
3,Shandao Temple,BL,25.044823,121.523208
4,Far Eastern Hospital,BL,24.998037,121.452514
5,Jianzicui,BL,25.03001,121.47239
6,Haishan,BL,24.985339,121.448786
7,Yongchun,BL,25.040859,121.576293
8,Tucheng,BL,24.973094,121.444362
9,Taipei Nangang Exhibition Center,BL,25.055288,121.6175001
10,Taipei City Hall,BL,25.041171,121.565228
11,Zhongxiao Xinsheng,BL,25.042356,121.532905
12,Nangang,BL,25.052116,121.606686
13,Houshanpi,BL,25.045055,121.582522
14,Zhongxiao Dunhua,BL,25.041478,121.551098
15,Sun Yat-Sen Memorial Hall,BL,25.041349,121.557802
16,Zhongxiao Fuxing,BL,25.041629,121.543767
17,Fuzhong,BL,25.008619,121.459409
18,Ximen,BL,25.04209,121.508303
19,Yongning,BL,24.966726,121.436072
20,Xinpu,BL,25.023738,121.468361
21,Dingpu,BL,24.96012,121.4205
22,Taipei Main Station,BL,25.046255,121.517532
23,Banqiao,BL,25.013618,121.462302
24,Nanjing Fuxing,BR,25.052319,121.544011
25,Neihu,BR,25.083661,121.594408
26,Songshan Airport,BR,25.063,121.551996
27,Huzhou,BR,25.072701,121.607158
28,Jiannan Rd.,BR,25.084853,121.555592
29,Linguang,BR,25.018535,121.558791
30,Gangqian,BR,25.080028,121.575081
31,Technology Building,BR,25.026125,121.543437
32,Dazhi,BR,25.079477,121.546895
33,Wanfang Hospital,BR,24.999386,121.558152
34,Taipei Zoo,BR,24.998197,121.579338
35,Wende,BR,25.078532,121.584761
36,Muzha,BR,24.998241,121.573145
37,Donghu,BR,25.067147,121.611445
38,Liuzhangli,BR,25.023777,121.553115
39,Zhongxiao Fuxing,BR,25.041629,121.543767
40,Zhongshan Junior High School,BR,25.060849,121.544227
41,Xinhai,BR,25.005475,121.557107
42,Xihu,BR,25.082133,121.567213
43,Wanfang Community,BR,24.998585,121.568102
44,Nangang Software Park,BR,25.059905,121.615953
45,Dahu Park,BR,25.083845,121.602141
46,Taipei Nangang Exhibition Center,BR,25.055288,121.6175001
47,Daan,BR,25.032943,121.543551
48,Xiaonanmen,G,25.035547,121.510857
49,Zhongshan,G,25.052685,121.520392
50,Guting,G,25.026357,121.522873
51,Gongguan,G,25.014908,121.534216
52,Qizhang,G,24.975169,121.542942
53,Chiang Kai-Shek Memorial Hall,G,25.032729,121.51827
54,Wanlong,G,25.001853,121.539051
55,Beimen,G,25.049554,121.510184
56,Xindian,G,24.957855,121.537584
57,Xindian District Office,G,24.967393,121.54131
58,Songshan,G,25.049283,121.578012
59,Jingmei,G,24.9921276,121.5406037
60,Xiaobitan,G,24.971907,121.530339
61,Ximen,G,25.04209,121.508303
62,Taipower Building,G,25.020725,121.528168
63,Nanjing Fuxing,G,25.052319,121.544011
64,Songjiang Nanjing,G,25.052015,121.533075
65,Taipei Arena,G,25.051836,121.55153
66,Dapinglin,G,24.982899,121.541352
67,Nanjing Sanmin,G,25.051652,121.564708
68,Xingtian Temple,O,25.059718,121.533185
69,Daqiaotou,O,25.063256,121.51272
70,Touqianzhuang,O,25.039705,121.461746
71,Zhongshan Elementary School,O,25.062694,121.526419
72,Zhongxiao Xinsheng,O,25.042356,121.532905
73,Dingxi,O,25.013821,121.515485
74,Sanchong,O,25.055791,121.484725
75,Jingan,O,24.993905,121.505113
76,Huilong,O,25.021862,121.41127
77,Nanshijiao,O,24.990045,121.509237
78,Guting,O,25.026357,121.522873
79,Sanchong Elementary School,O,25.070319,121.496904
80,Sanmin Senior High School,O,25.085456,121.473389
81,Minquan W. Rd.,O,25.062905,121.51932
82,Taipei Bridge,O,25.063274,121.500762
83,Dongmen,O,25.033847,121.528739
84,Songjiang Nanjing,O,25.052015,121.533075
85,Fu Jen University,O,25.032718,121.43547
86,Xinzhuang,O,25.036125,121.452468
87,Danfeng,O,25.0288671,121.4227079
88,St. Ignatius High School,O,25.080728,121.479673
89,Xianse Temple,O,25.046493,121.471916
90,Luzhou,O,25.091554,121.464471
91,Sanhe Junior High School,O,25.076859,121.486347
92,Cailiao,O,25.060274,121.492156
93,Yongan Market,O,25.002876,121.511231
94,Qiyan,R,25.125491,121.501132
95,Jiantan,R,25.084873,121.525078
96,Xiangshan,R,25.03283,121.569576
97,Daan,R,25.032943,121.543551
98,Dongmen,R,25.033847,121.528739
99,Xinbeitou,R,25.136933,121.50253
100,Qilian,R,25.120872,121.506252
101,Shuanglian,R,25.057805,121.520627
102,Beitou,R,25.131841,121.498633
103,Taipei 101/World Trade Center,R,25.033102,121.563292
104,Zhishan,R,25.10306,121.522514
105,Fuxinggang,R,25.137474,121.485444
106,Tamsui,R,25.167818,121.445561
107,Zhongshan,R,25.052685,121.520392
108,Yuanshan,R,25.071353,121.520118
109,Chiang Kai-Shek Memorial Hall,R,25.032729,121.51827
110,Shipai,R,25.114523,121.515559
111,Taipei Main Station,R,25.046255,121.517532
112,Zhuwei,R,25.13694,121.459479
113,Mingde,R,25.109721,121.518848
114,Xinyi Anhe,R,25.033326,121.553526
115,Guandu,R,25.125633,121.467102
116,Hongshulin,R,25.154042,121.458872
117,NTU Hospital,R,25.041256,121.51604
118,Daan Park,R,25.033396,121.534882
119,Minquan W. Rd.,R,25.062905,121.51932
120,Zhongyi,R,25.130969,121.47341
121,Shilin,R,25.093535,121.52623
